Tag,Genre,Genre2
cricket,Sports,Cricket
cricinfo,Sports,Cricket
real madrid,Sports,Football
chelsea,Sports,Football
live cricket score,Sports,Cricket
espncricinfo,Sports,Cricket
manchester united,Sports,Football
irctc,Public Infra,Railways
barcelona,Sports,Football
arsenal,Sports,Football
ipl,Sports,Cricket
live cricket,Sports,Cricket
spicejet,Public Infra,Airlines
live score,Sports,NA
virat kohli,Sports,Cricket
australian open,Sports,Tennis
india vs australia,Sports,Cricket
narendra modi,Personality,Politics
sachin tendulkar,Sports,Cricket
earthquake,Event,Earthquake
cricbuzz,Sports,Cricket
rbi,Public Infra,Monetary
cricket score,Sports,Cricket
epl,Sports,Football
ctet,Examination system,Teaching
womens day,Event,International
upsc,Examination system,Civil Services
ibps,Examination system,Banking
cbse,Examination system,Schools
mothers day,Event,International
independence day,Event,National
budget 2013,Event,Govt
champions league,Sports,Football
roger federer,Personality,Tennis
friendship day,Event,International
republic day,Event,National
rrb,Public Infra,Railways
raksha bandhan,Event,Religion
telangana,Governance,State
du,Public Infra,Education
bharat bandh,Event,National
bigg boss 6,Television,Show
thanksgiving,Event,International
aipmt,Examination system,Medical
news,Public Infra,News
india vs south africa,Event,Cricket
imam siddique,Personality,Fashion-stylist
air india,Brand,Airlines
sbi,Brand,Banking
liverpool,Sports,Football
holi,Event,Religion
dussehra,Event,Religion
cricket news,Sports,Cricket
navratri,Event,Religion
india vs england,Sports,Cricket
cmat,Examination system,Management
saina nehwal,Personality,Tennis
nadal,Personality,Tennis
hdfc,Brand,Banking
happy new year,Event,International
isro,Public Infra,Space
cricket live,Sports,Cricket
india vs pakistan,Event,Cricket
fci,Public Infra,Food
eid mubarak,Event,Religion
uefa champions league,Sports,Football
chris gayle,Personality,Cricket
isl,Brand,Sports
cricket live score,Sports,Cricket
teachers day,Event,International
bal thackeray,Personality,Politics
mha,Public Infra,Home Affairs
new year wishes,Event,International
ugc net,Examination system,UGC net
bhagat singh,Personality,Politics
ganesh chaturthi,Event,Religion
ind vs aus,Sports,Cricket
shahrukh khan,Personality,Cinema
akbaruddin owaisi,Personality,Politics
valentine,Sports,Cricket
ebola,Event,Epidemic
ongc,Public Infra,Oil
yuvraj singh,Personality,Cricket
friendship,Humanity,Desperation
amitabh bachchan,Personality,Cinema
amazon india,Brand,Ecommerce
ipl live score,Sports,Cricket
samsung galaxy s4,Electronics,Phone
icai,Examination system,Finance
live tv,Humanity,Desperation
mahashivratri,Event,Religion
latest news,Humanity,Desperation
india cricket team,Sports,Cricket
gandhi,Personality,Politics
christmas,Event,Religion
espn,Brand,Sports
aieee,Examination system,Schools
10th result,Examination system,Schools
airasia,Brand,Airlines
dasara,Event,Religion
petrol price,Public Infra,Oil
gate,Examination system,Masters
blood money,Entertainment,Cinema
vishwaroopam,Entertainment,Cinema
merry christmas,Event,Religion
india vs zimbabwe,Event,Cricket
pnr status enquiry,Humanity,Desperation
arvind kejriwal,Personality,Politics
kim kardashian,Personality,Public
childrens day,Event,National
live streaming,Humanity,Desperation
halloween,Event,International
dhoom 3,Entertainment,Cinema
amazon,Brand,Ecommerce
easter,Event,Religion
jee main,Examination system,Schools
earthquake today,Event,Seismic
shikhar dhawan,Personality,Cricket
diwali,Event,Religion
cric buzz,Sports,Cricket
anna university,Brand,Education
flag,Humanity,Desperation
valentine day,Event,International
good friday,Event,Religion
janmashtami,Event,Religion
eil,Humanity,Desperation
guru nanak,Event,Religion
swami vivekananda,Personality,Thinker
income tax return,Humanity,Desperation
gmail account,Humanity,Desperation
jet airways,Brand,Airlines
india vs west indies,Event,Cricket
jennifer lawrence,Personality,Cinema
mahatma gandhi,Personality,Politics
rakhi,Event,Religion
facebooklogin,Humanity,Desperation
makar sankranti,Event,Religion
cricinfo.com,Sports,Cricket
26-Nov,Event,Terrorism
doodle 4 google,Event,Creativity
clt20,Sports,Cricket
manisha koirala,Personality,Cinema
serena williams,Personality,Tennis
christmas wishes,Humanity,Desperation
ccl,Humanity,Desperation
onam,Event,National
rail budget 2013,Event,Govt
blackberry,Brand,Mobile
budget,Event,Govt
getjar,Brand,Apps
new year messages,Humanity,Desperation
star sports,Brand,Sports
honda amaze,Brand,Automobiles
shazia ilmi,Personality,Politics
sanjay dutt,Personality,Cinema
karwa chauth,Event,Religion
mumbai indians,Brand,Sports
india vs england live score,Event,Cricket
atal bihari vajpayee,Personality,Politics
diwali greetings,Humanity,Desperation
kasab,Personality,Kasab
dilip kumar,Personality,Cinema
sania mirza,Personality,Tennis
ram navami,Event,Religion
kishore kumar,Personality,Cinema
life of pi,Cinema,Book
labour day,Event,International
miriam makeba,Personality,Artist
rakshabandhan,Event,Religion
fc barcelona,Brand,Sports
chennai weather,Event,State
krrish 3,Brand,Cinema
ind vs aus live score,Event,Cricket
hugo chavez,Personality,Politics
vishu,Event,Religion
rajinikanth,Personality,Cinema
ugadi,Event,Religion
poonam pandey,Personality,Cinema
sslc results,Examination system,Schools
happy valentines day,Event,International
pseb,Examination system,Schools
ndtv,Entertainment,Television
trb,Examination system,Teaching
aai,Public Infra,Airlines
delhi university,Public Infra,Education
gold price,Humanity,Desperation
cbse result,Examination system,Schools
world environment day,Event,International
ssc,Examination system,Schools
india vs new zealand,Event,Cricket
ek tha tiger,Cinema,Films
mother s day,Event,International
india against corruption,Event,National
ranbir kapoor,Personality,Cinema
children's day,Event,National
times now,Brand,Television
moto x,Brand,Mobile
espn live,Brand,Television
sana khan,Personality,Cinema
wimbledon,Event,Tennis
singham returns,Cinema,Films
ind vs pak,Event,Cricket
pro kabaddi,Sports,Kabaddi
uppsc,Examination system,Service Commission
apple,Brand,Electronics
nanban,Cinema,Films
us open,Event,Tennis
rahul dravid,Personality,Cricket
anushka sharma,Personality,Cinema
pacific rim,Cinema,Films
rahul gandhi,Personality,Politics
dhanush,Personality,Cinema
jagjit singh,Personality,Music
genelia d souza,Personality,Cinema
shakuntala devi,Personality,Mathematician
saheb biwi aur gangster returns,Cinema,Films
aam aadmi party,Brand,Politics
vidya balan,Personality,Cinema
gudi padwa,Event,Religion
eid,Event,Religion
gandhi jayanti,Event,National
kamal hassan,Personality,Cinema
christmas messages,Humanity,Desperation
india vs srilanka,Event,Cricket
bhai dooj,Event,Religion
bse,Public Infra,Finance
jolly llb review,Cinema,Films
robert vadra,Personality,Politics
ramzan,Event,Religion
muharram,Event,Religion
election results,Event,Politics
oscars 2013,Event,Cinema
hazel keech,Personality,Fashion
ssc results,Examination system,Schools
live news,Humanity,Desperation
happy new year 2013,Humanity,Desperation
nelson mandela,Personality,Politics
bank strike,Humanity,Desperation
sensex,Event,National
salman khan,Personality,Cinema
rowdy rathore,Cinema,Films
ps4,Brand,Electronics
ponty chadha,Personality,Business
cheteshwar pujara,Personality,Cricket
douglas adams,Personality,Books
railway recruitment board,Examination system,Railways
jayalalitha,Personality,Politics
nasa,Brand,Space
star cricket,Sports,Sports
election commission,Public Infra,Politics
west indies,Entity,Country
raghuram rajan,Personality,Finance
chennai express,Cinema,Films
whatsapp,Brand,Messaging
