Day,Week,Hour,Minute,Qurter,Date,timestamp,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24
17,3,12,0,1,17-01-2009,00:08.1,Mumbai marathon,Raju ananthaswamy,Anna university results,Nail the thief,Sbicard,,,,,,,,,,,,,,,,,,,,
18,3,12,0,1,18-01-2009,00:05.7,Radioreloaded,Ravindra jadeja,Smartdte.in,Mfc 2009 analysis,Mumbai marathon 2009,,,,,,,,,,,,,,,,,,,,
19,4,12,0,1,19-01-2009,00:08.7,Allahabad bank,Xat results,Ayan songs,Allahabadbank.com,Www.allahabadbank.com,,,,,,,,,,,,,,,,,,,,
20,4,12,0,1,20-01-2009,00:07.5,Fiitjee,Fiitjee results,Ftre results,Www.fiitjee.com,Www.shimoga.net,,,,,,,,,,,,,,,,,,,,
21,4,12,0,1,21-01-2009,00:07.0,Anna university results,Aibea,Www.sbtetap.ac.in,Republic day,Aiboc,,,,,,,,,,,,,,,,,,,,
22,4,12,0,1,22-01-2009,00:05.4,Republic day,Rvce,Avast updates,Osmania,Slumdog millionaire oscar,,,,,,,,,,,,,,,,,,,,
23,4,12,0,1,23-01-2009,00:05.1,Bsnleu,Www.bsnleuchq.com,Bsnleuchq.com,Aicte,Nfte,,,,,,,,,,,,,,,,,,,,
24,4,12,0,1,24-01-2009,00:05.3,Sony pix,Nstse,Star maza,Dteap.ac.in,Jkbose,,,,,,,,,,,,,,,,,,,,
25,4,12,0,1,25-01-2009,00:14.9,Sivajitv.com,Republic day sms,Www.starscreenawards.in,Sivaji tv,Starscreenawards.in,,,,,,,,,,,,,,,,,,,,
26,5,12,0,1,26-01-2009,00:04.9,Bput,Www.krishna.gov.in,Forum bangalore,Latest bollywood songs,Siva manasula sakthi songs download,,,,,,,,,,,,,,,,,,,,
27,5,12,19,1,27-01-2009,19:04.0,Uptu result,Syndicate bank,Uptu.ac.in,Venkatraman,Uptu.org,,,,,,,,,,,,,,,,,,,,
28,5,12,19,1,28-01-2009,19:04.3,Nmims,Nmat,Nmims.edu,Nmims results,Nmat results,,,,,,,,,,,,,,,,,,,,
30,5,12,19,1,30-01-2009,19:03.7,Wbuhs,Www.thewbuhs.org,Kashmir university,Calicut university,Luck by chance review,,,,,,,,,,,,,,,,,,,,
1,5,12,19,1,01-02-2009,19:06.7,Anna university coimbatore,Winner of nach baliye 4,Www.banglarmukh.com,Gate 2009,Bpsc,,,,,,,,,,,,,,,,,,,,
2,6,12,19,1,02-02-2009,19:03.8,Christ university,Christ college,Cgvyapam,Tn.govt.com,Tn govt,,,,,,,,,,,,,,,,,,,,
3,6,12,19,1,03-02-2009,19:04.3,The mobile store,India vs srilanka score,Ind sl,Cricket scores,Live cricket,,,,,,,,,,,,,,,,,,,,
4,6,12,19,1,04-02-2009,19:03.7,Www.yavatmal.nic.in,Delhi police result,Fms result,Www.bollywood.com,Yavatmal.nic.in,,,,,,,,,,,,,,,,,,,,
5,6,12,19,1,05-02-2009,19:04.4,Uptu.ac.in,Uptu,Uptu results,Www.uptu.ac.in,Uptu.org,,,,,,,,,,,,,,,,,,,,
7,6,12,19,1,07-02-2009,19:02.7,Vtu results,Vtu.ac.in,Www.vtu.ac.in,Valentine week,Rose day,,,,,,,,,,,,,,,,,,,,
8,6,12,19,1,08-02-2009,19:04.1,Vtu results,Gate 2009 solution,Gate 2009 answer key,Gate forum,Results.vtu.ac.in,,,,,,,,,,,,,,,,,,,,
9,7,12,19,1,09-02-2009,19:04.9,Mysore university,Results.vtu.ac.in,Vtu results,Vtu.ac.in,Www.results.vtu.ac.in,,,,,,,,,,,,,,,,,,,,
10,7,12,19,1,10-02-2009,19:03.9,Nabard,Www.nabard.org,Parbhani.nic.in,Bmponline.org,Nabard.org,,,,,,,,,,,,,,,,,,,,
13,7,12,19,1,13-02-2009,19:03.9,Valentine day sms,Msbte,Coromandel express,Valentine greetings,Billo barber review,,,,,,,,,,,,,,,,,,,,
14,7,12,19,1,14-02-2009,19:03.6,Msbte,Msbte.com,Www.msbte.com,Msbte result,Dishtv,,,,,,,,,,,,,,,,,,,,
16,8,12,19,1,16-02-2009,19:03.4,Tekerala.org,Www.tekerala.org,Bu bhopal,Sbi life,Vtu mba results,,,,,,,,,,,,,,,,,,,,
17,8,12,19,1,17-02-2009,19:04.5,Mumbai university,Nhpc,Mu.ac.in,Bsnl,Airtel.in,,,,,,,,,,,,,,,,,,,,
18,8,12,19,1,18-02-2009,19:04.7,Bsnl,Nhpc,Anna university tirunelveli,Bits pilani,Bits admission,,,,,,,,,,,,,,,,,,,,
20,8,12,19,1,20-02-2009,19:03.4,Cusat,Mat results,Cusat results,Www.cusat.ac.in,Cusat.ac.in,,,,,,,,,,,,,,,,,,,,
21,8,12,19,1,21-02-2009,19:04.7,Anna university results jan 2009,Sakshi tv,Www.annauniv.edu,Anna university credit system,Chennaieducation.net,,,,,,,,,,,,,,,,,,,,
22,8,12,19,1,22-02-2009,19:03.9,Davv,Davv result,Www.dauniv.ac.in,Mahashivratri,Oscar live,,,,,,,,,,,,,,,,,,,,
23,9,12,19,1,23-02-2009,19:05.1,Nimhans,Lyrics of jai ho,Jai ho song download,Shivratri,Slumdog songs,,,,,,,,,,,,,,,,,,,,
24,9,12,19,1,24-02-2009,19:04.2,Gujarat university,Excise duty,Central excise,Set max,Gujarat uni,,,,,,,,,,,,,,,,,,,,
25,9,12,19,1,25-02-2009,19:06.3,Ind vs nz,India vs new zealand,Vtu 3rd sem results,Tumkur university,Balika vadhu,,,,,,,,,,,,,,,,,,,,
